employer,industry
DELOITTE CONSULTING LLP,Consulting
TECH MAHINDRA AMERICAS INC,IT
CAPGEMINI AMERICA INC,Consulting
IBM CORPORATION,IT
WIPRO LIMITED,IT
SYNTEL INC,IT
JPMORGAN CHASE & CO,Financial Services
ACCENTURE LLP,Consulting
INFOSYS LIMITED,IT
DELOITTE & TOUCHE LLP,Consulting
WAL-MART ASSOCIATES INC,Retail
MPHASIS CORPORATION,IT
APPLE INC,IT
MICROSOFT CORPORATION,IT
QUALCOMM TECHNOLOGIES INC,Semiconductor
IBM INDIA PRIVATE LIMITED,IT
SALESFORCE COM INC,IT
PRICEWATERHOUSECOOPERS ADVISORY SE,Consulting
L&T TECH SVCS LTD,Consulting
COGNIZANT TECH SOLNS US CORP,IT
RANDSTAD TECHNOLOGIES LLC,Consulting
UBER TECHNOLOGIES INC,IT
MINDTREE LIMITED,IT
KFORCE INC,Consulting
ERNST & YOUNG US LLP,Consulting
AMAZON WEB SERVICES INC,IT
HCL AMERICA INC,IT
VMWARE INC,IT
TATA CONSULTANCY SVCS LTD,IT
LINKEDIN CORPORATION,IT
VIRTUSA CORPORATION,IT
PRICEWATERHOUSECOOPERS LLP,Consulting
LARSEN AND TOUBRO INFOTECH LTD,IT
SYNECHRON INC,Consulting
CAPITAL ONE SERVICES LLC,Financial Services
NTT DATA INC,IT
HEXAWARE TECHNOLOGIES INC,IT
KPMG LLP,Consulting
PAYPAL INC,IT
NVIDIA CORPORATION,Semiconductor
COMPUNNEL SOFTWARE GROUP INC,IT
BANK OF AMERICA NA,Financial Services
CUMMINS INC,Automotive
GOLDMAN SACHS & CO LLC,Financial Services
INFOSYS LTD,IT
OATH HOLDINGS INC,Communications
TESLA INC,Automotive
CGI TECHNOLOGIES AND SOLUTIONS INC,IT
CISCO SYSTEMS INC,IT
POLARIS CONSULTING & SERVICES LTD,IT
BLOOMBERG LP,Communications
COMCAST CABLE COMMUNICATIONS LLC,Communications
EBAY INC,IT
INTEL CORPORATION,Semiconductor
ORACLE AMERICA INC,IT
UST GLOBAL INC,IT
INTUIT INC,IT
MCKINSEY & COMPANY INC US,Consulting
POPULUS GROUP LLC,Consulting
EPAM SYSTEMS INC,IT
ADOBE SYSTEMS INCORPORATED,IT
ANTHEM INC,Healthcare
CERNER CORPORATION,Healthcare
VISA TECHNOLOGY OPERATIONS LLC,Financial Services
MARLABS INC,IT
NIIT TECHNOLOGIES LIMITED,IT
WAYFAIR LLC,IT
HCL GLOBAL SYSTEMS INC,IT
FIDELITY INVESTMENTS,Financial Services
HEWLETT PACKARD ENTERPRISE COMPANY,IT
THE MATHWORKS INC,IT
AMERICAN EXPRESS TRAVEL RELATED SV,Financial Services
MORGAN STANLEY SERVICES GROUP INC,Financial Services
EXPEDIA INC,IT
MICRON TECHNOLOGY INC,Semiconductor
T MOBILE USA INC,Communications
SAP AMERICA INC,IT
JUNIPER NETWORKS INC,IT
ERP ANALYSTS INC,IT
UNIV OF MICHIGAN,University
MASTECH DIGITAL TECHNOLOGIES INC A,IT
CITIUSTECH INC,Healthcare
AIRBNB INC,IT
NATSOFT CORPORATION,IT
OPTUM SERVICES INC,Healthcare
THE LELAND STANFORD JR UNIV,University
MANAGEMENT HLTH SYS LLC DBA MEDPRO,Healthcare
DELOITTE TAX LLP,Consulting
NTT DATA SERVICES LLC,IT
GOLDMAN SACHS SERVICES LLC,Financial Services
CLEVELAND CLINIC FOUNDATION,Healthcare
V-SOFT CONSULTING GROUP INC,IT
COX AUTOMOTIVE CORPORATE SVCS LLC,Automotive
PROKARMA INC,IT
EXLSERVICE.COM LLC,Consulting
SERVICENOW INC,IT
A2Z DEVELOPMENT CENTER INC D B A,IT
MAYO CLINIC,Healthcare
BARCLAYS SERVICES CORP,Financial Services
GENERAL MOTORS COMPANY,Automotive
SYNOPSYS INC,IT
THE BOSTON CONSULTING GROUP INC,Consulting
HEADSTRONG SERVICES LLC,IT
HITACHI CONSULTING CORPORATION,Consulting
ZS ASSOCIATES INC,Consulting
VISA U S A INC,Financial Services
FEDEX CORPORATE SERVICES INC,Retail
JOHNS HOPKINS UNIVERSITY,University
BIRLASOFT INC,IT
STATE STREET BANK & TRUST COMPANY,Financial Services
ADP TECHNOLOGY SERVICES INC,Consulting
ZENSAR TECHNOLOGIES INC,IT
ADVANCED MICRO DEVICES INC,Semiconductor
COLUMBIA UNIVERSITY,University
BOFAML SECURITIES INC,Financial Services
NOKIA OF AMERICA CORPORATION,IT
CADENCE DESIGN SYSTEMS INC,IT
COMPUTER SCIENCES CORPORATION,IT
COLLABORATE SOLUTIONS INC,IT
SAPIENT CORPORATION,IT
NUTANIX INC,IT
AVCO CONSULTING INC,IT
GLOBALLOGIC INC,IT
SYMANTEC CORPORATION,IT
CAREMARK LLC,Healthcare
HTC GLOBAL SERVICES INC,IT
PALO ALTO NETWORKS INC,IT
RELIABLE SOFTWARE RESOURCES INC,IT
IRIS SOFTWARE INC,IT
APPLIED MATERIALS INC,Semiconductor
FORD MOTOR COMPANY,Automotive
UNIV OF PENNSYLVANIA,University
CSC COVANSYS CORPORATION,IT
DALLAS INDEPENDENT SCHOOL DISTRICT,Education
AMAZON.COM SERVICES INC,IT
CITIBANK N A,Financial Services
NETAPP INC,IT
AMERICAN AIRLINES INC,Airlines
PHOTON INFOTECH INC,IT
PIONEER CONSULTING SERVICES LLC,IT
QUEST GLOBAL SERVICES-NA INC,Aerospace
CHARTER COMMUNICATIONS INC,Communications
PERSISTENT SYSTEMS INC,IT
TARGET ENTERPRISE INC,Manufacturing
ERICSSON INC,Communications
UNIV OF CALIFORNIA SAN FRANCISCO,University
SAP LABS LLC,IT
TWITTER INC,IT
AMGEN INC,Biotechnology
DELL USA LP,IT
SLK AMERICA INC,IT
YASH TECHNOLOGIES INC,IT
BLACKROCK FINANCIAL MANAGEMENT INC,Financial Services
NIKE INC,Apparel
UNIVERSITY OF PITTSBURGH,University
NISUM TECHNOLOGIES INC,IT
SYNAPSIS INC,IT
THE UNIVERSITY OF CHICAGO,University
CHARLES SCHWAB COMPANY INC,Financial Services
COLLABERA INC,IT
US BANK NATIONAL ASSOCIATION,Financial Services
VEDICSOFT SOLUTIONS LLC,IT
AKAMAI TECHNOLOGIES INC,IT
FUJITSU AMERICA INC,IT
GLOBALFOUNDRIES US INC,Semiconductor
GENPACT LLC,IT
3I INFOTECH INC,IT
MIRACLE SOFTWARE SYSTEMS INC,IT
AUTODESK INC,IT
DIVERSANT LLC,IT
LYFT INC,IT
MEDTRONIC INC,Healthcare
MERRILL LYNCH,Financial Services
UT SOUTHWESTERN MEDICAL CENTER,Healthcare
WORKDAY INC,Consulting
ICAHN SCH OF MEDICINE AT MOUNT SIN,Healthcare
MEMORIAL SLOAN KETTERING CANCER CT,Healthcare
NAGARRO INC,IT
UNIVERSITY OF FLORIDA,University
